"LocationName","FeatureLocation","Provider","Ward","NoBays","Speed","easting","northing","Radius","IsDedicated","Status"
"Brook Street","At j/w Bayswater Road","ESB","Hyde Park",1,"50kW",526918.6,180873,25,"Dedicated","Installed"
"Bryanston Square","Outside 33","BPL","Marylebone",2,"7-22kW",527667,181488,15,"Dedicated","Installed"
"Burwood Place","At or Outside WATER GARDENS","Ubitricity","Hyde Park",1,"5.5kW",527339.4,181347.59,6,"Dedicated","Installed"
"Caird Street","At or Outside 23","Ubitricity","Queen's Park",1,"5.5kW",524514.63,182540.49,6,"Non Dedicated","Installed"
"Caird Street","At or Outside 35","Ubitricity","Queen's Park",1,"5.5kW",524476.69,182546,6,"Non Dedicated","Installed"
"Caird Street","At or Outside 5","Ubitricity","Queen's Park",1,"5.5kW",524570.32,182531.93,6,"Non Dedicated","Installed"
"Cambridge Square","At or Outside 18","Ubitricity","Hyde Park",1,"5.5kW",527175.83,181297.29,6,"Dedicated","Installed"
"Cambridge Square","At or Outside 50YDS FROM SL8","Ubitricity","Hyde Park",1,"5.5kW",527193.51,181313.84,6,"Non Dedicated","Installed"
"Cambridge Street","Opposite 132","Ubitricity","Pimlico North",1,"5.5kW",529101.02,178343.87,6,"Dedicated","Installed"
"Cambridge Street","outside 52","Ubitricity","Pimlico North",1,"5.5kW",529143.36,178312.8,6,"Dedicated","Installed"
"Cambridge Street","outside 70","Ubitricity","Pimlico North",1,"5.5kW",529225.78,178253.55,6,"Non Dedicated","Installed"
"Capland Street","At or Outside 9-16 CAPLAND HOUSE","Ubitricity","Church Street",1,"5.5kW",526946.67,182312.15,6,"Dedicated","Installed"
"Carlisle Street","Side of 38 Soho Square","BP Pulse","West End",1,"7-22kW",529650,181228,15,"Dedicated","Installed"
"Carlton Hill","At or Outside 11","Ubitricity","Abbey Road",1,"5.5kW",526322.05,183570.41,6,"Non Dedicated","Installed"
"Carlton Hill","At or Outside 17","Ubitricity","Abbey Road",1,"5.5kW",526293.39,183553.1,6,"Non Dedicated","Installed"
"Carlton Hill","At or Outside 5/7","Ubitricity","Abbey Road",1,"5.5kW",526348.04,183586.44,6,"Dedicated","Installed"
"Carlton Hill","At or Outside 57","Ubitricity","Abbey Road",1,"5.5kW",526089.93,183410.3,6,"Dedicated","Installed"
"Carlton Hill","Opposite 65/67","Ubitricity","Abbey Road",1,"5.5kW",526049.71,183375.61,6,"Non Dedicated","Installed"
"Carlton Hill","Opposite 78","Ubitricity","Abbey Road",1,"5.5kW",525987.73,183321.79,6,"Non Dedicated","Installed"
"Carlton Hill","Opposite 80","Ubitricity","Abbey Road",1,"5.5kW",525964.83,183303,6,"Dedicated","Installed"
"Carlton Hill","Opposite 84","Ubitricity","Abbey Road",1,"5.5kW",525944.04,183285.61,6,"Non Dedicated","Installed"
"Carlton Hill","Opposite No. 89","Elektromotive Car Club","Abbey Road",2,"7-22kW",525833.6,183206.5,15,"Dedicated","Installed"
"Carlton Vale","At or Outside 47","Ubitricity","Maida Vale",1,"5.5kW",525515.03,183017.61,6,"Non Dedicated","Installed"
"Carlton Vale","At or Outside 47 KEITH HOUSE","Ubitricity","Maida Vale",1,"5.5kW",525489.97,183014.07,6,"Dedicated","Installed"
"Carlton Vale","At or Outside 5 HELMSDALE HOUSE","Ubitricity","Maida Vale",1,"5.5kW",525661.07,183066.1,6,"Non Dedicated","Installed"
"Carlton Vale","At or Outside 8","Ubitricity","Maida Vale",1,"5.5kW",525715.74,183116.05,6,"Non Dedicated","Installed"
"Carlton Vale","Outside Invergarry House","Ubitricity","Maida Vale",1,"5.5kW",525604.16,183040.97,6,"Dedicated","Installed"
"Castellain Road","At or Outside 1-15","Ubitricity","Maida Vale",1,"5.5kW",525811.35,182383.21,6,"Non Dedicated","Installed"
"Castellain Road","At or Outside 114-128","Ubitricity","Maida Vale",1,"5.5kW",525720.61,182431.2,6,"Non Dedicated","Installed"
"Castellain Road","At or Outside 18-32","Ubitricity","Maida Vale",1,"5.5kW",525784.46,182386.91,6,"Non Dedicated","Installed"
"Castellain Road","At or Outside 23","Ubitricity","Little Venice",1,"5.5kW",525922.62,182245.54,6,"Non Dedicated","Installed"
"Castellain Road","At or Outside 26","Ubitricity","Little Venice",1,"5.5kW",525923.08,182263.78,6,"Dedicated","Installed"
"Castellain Road","At or Outside 49-63","Ubitricity","Maida Vale",1,"5.5kW",525774.26,182408.7,6,"Dedicated","Installed"
"Castellain Road","At or Outside 5","Ubitricity","Little Venice",1,"5.5kW",525959.63,182205.41,6,"Dedicated","Installed"
"Castellain Road","At or Outside 66-80","Ubitricity","Maida Vale",1,"5.5kW",525752.08,182409.27,6,"Non Dedicated","Installed"
"Castellain Road","At or Outside 98-112","Ubitricity","Maida Vale",1,"5.5kW",525733.89,182421.98,6,"Dedicated","Installed"
"Causton Street","Outside 1 - 16 (next to Fairley House School)","Ubitricity","Vincent Square",1,"5.5kW",529821.42,178523.81,6,"Dedicated","Installed"
"Cavendish Square","Outside 5","BPL","West End",3,"7-22kW",528857,181401,15,"Dedicated","Installed"
"Caxton Street","Opposite Vandon Street","Ubitricity","St James's",1,"5.5kW",529469.01,179375.28,6,"Dedicated","Installed"
"Charlwood Street","At or Outside 8","Ubitricity","Pimlico North",1,"5.5kW",529430.95,178613.32,6,"Dedicated","Installed"
"Charlwood Street","Opposite 82","Ubitricity","Pimlico North",1,"5.5kW",529160.7,178201.71,6,"Dedicated","Installed"
"Charlwood Street","Opp 7-9 Charlwood Street","BP Pulse","Pimlico North",1,"7-22kW",529438.7011,178595.2147,15,"Dedicated","Installed"
"Chepstow Road","Outside No. 29","Ubitricity","Bayswater",1,"5.5kW",525300.03,181262.18,6,"Dedicated","Installed"
"Chepstow Road","Outside No. 49","Ubitricity","Bayswater",1,"5.5kW",525287.65,181319.48,6,"Non Dedicated","Installed"
"Chepstow Road","Outside No. 7","Ubitricity","Bayswater",1,"5.5kW",525310.9,181214.83,6,"Dedicated","Installed"
"Chester Row","Opposite 2","Ubitricity","Knightsbridge & Belgravia",1,"5.5kW",528403.77,178849.42,6,"Dedicated","Installed"
"Chippenham Road","AT OR OUTSIDE NO.73","Ubitricity","Maida Vale",1,"5.5kW",525157.13,182401.97,6,"Non Dedicated","Installed"
"Chippenham Road","AT OR OUTSIDE NO.25/27","Ubitricity","Harrow Road",1,"5.5kW",525146.74,182150.04,6,"Non Dedicated","Installed"
"Chippenham Road","AT OR OUTSIDE NO.31/33","Ubitricity","Harrow Road",1,"5.5kW",525147.66,182166.75,6,"Dedicated","Installed"
"Chippenham Road","At or Outside no.79","Ubitricity","Maida Vale",1,"5.5kW",525157.75,182418.52,6,"Non Dedicated","Installed"
"Chippenham Road","AT OR OUTSIDE NO30/32","Ubitricity","Harrow Road",1,"5.5kW",525134.3,182119.74,6,"Dedicated","Installed"
"Churchill Gardens Road","At or Outside Maitland House","Ubitricity","Pimlico South",1,"5.5kW",529133,177971.44,6,"Non Dedicated","Installed"
"Churchill Gardens Road","Opposite 1-24 Elgar House","Ubitricity","Pimlico South",1,"5.5kW",528935.03,178010.53,6,"Non Dedicated","Installed"
"Churchill Gardens Road","Opposite KEATS HOUSE","Ubitricity","Pimlico South",1,"5.5kW",529316.45,178004.29,6,"Non Dedicated","Installed"
"Churchill Gardens Road","Opposite Ripley HOUSE","Ubitricity","Pimlico South",1,"5.5kW",529050.76,177989.99,6,"Non Dedicated","Installed"
"Churchill Gardens Road","Side of front of Lutyens House","Ubitricity","Pimlico South",1,"5.5kW",529019.97,178005.78,6,"Non Dedicated","Installed"
"Churchill Gardens Road","Side of Keats House","Ubitricity","Pimlico South",1,"5.5kW",529259.08,177992.19,6,"Non Dedicated","Installed"
"Circus Road","At or Outside 1-30 GROVE COURT","Ubitricity","Abbey Road",1,"5.5kW",526633.58,182913.26,6,"Non Dedicated","Installed"
"Circus Road","At or Outside 41","Ubitricity","Abbey Road",1,"5.5kW",526688.94,182989.93,6,"Non Dedicated","Installed"
"Circus Road","At or Outside circus lodge","Ubitricity","Abbey Road",1,"5.5kW",526660.07,182944.02,6,"Dedicated","Installed"
"Circus Road","At or Outside GROVE COURT","Ubitricity","Abbey Road",1,"5.5kW",526600.23,182888.36,6,"Non Dedicated","Installed"
"Circus Road","Outside 20 Circus Road","PodPoint","Regent's Park",2,"7-22kW",526864,183219,15,"Dedicated","Installed"
"Clarendon Gardens","At or Outside 1","Ubitricity","Little Venice",1,"5.5kW",526301.04,182134.19,6,"Dedicated","Installed"
"Clarendon Gardens","At or Outside 11","Ubitricity","Little Venice",1,"5.5kW",526339.41,182166.83,6,"Non Dedicated","Installed"
"Clarendon Gardens","At or Outside 15","Ubitricity","Little Venice",1,"5.5kW",526356.2,182180.72,6,"Non Dedicated","Installed"
"Clarendon Gardens","At or Outside CO 15 RANDOLPH AVENUE","Ubitricity","Little Venice",1,"5.5kW",526383.01,182203.59,6,"Non Dedicated","Installed"
"Clarendon Place","AT OR OUTSIDE CHESTER HOUSE","Ubitricity","Hyde Park",1,"5.5kW",527165.3,180907.37,6,"Dedicated","Installed"
"Clarendon Place","AT OR OUTSIDE FALMOUTH HOUSE","Ubitricity","Hyde Park",1,"5.5kW",527159.55,180882.67,6,"Non Dedicated","Installed"
"Clarendon Place","AT OR OUTSIDE NO.12","Ubitricity","Hyde Park",1,"5.5kW",527150.5,180930.6,6,"Dedicated","Installed"
"Claverton Street","At or Outside 19","Ubitricity","Pimlico South",1,"5.5kW",529356.36,178136.86,6,"Non Dedicated","Installed"
"Claverton Street","At or Outside 3","Ubitricity","Pimlico South",1,"5.5kW",529343.58,178182.74,6,"Dedicated","Installed"
"Claverton Street","At or Outside 42","Ubitricity","Pimlico South",1,"5.5kW",529394.41,178055.4,6,"Non Dedicated","Installed"
"Claverton Street","At or Outside 54-56","Ubitricity","Pimlico South",1,"5.5kW",529403.68,178022.59,6,"Dedicated","Installed"
"Claverton Street","Opposite 60-62","Ubitricity","Pimlico South",1,"5.5kW",529395.49,177996.39,6,"Non Dedicated","Installed"
"Cleveland Terrace","j/w eastbourne mews","Ubitricity","Lancaster Gate",1,"5.5kW",526346,181351.37,6,"Dedicated","Installed"
"Cleveland Terrace","Opposite 119 WESTBOURNE TERRACE","Ubitricity","Lancaster Gate",1,"5.5kW",526330.22,181350.69,6,"Dedicated","Installed"
"Clifton Gardens","At or Outside 13 CONNAUGHT HOUSE","Ubitricity","Little Venice",1,"5.5kW",526162.46,182116.81,6,"Dedicated","Installed"
