ons_la_code_apr_2019,borough,quarter,count
E09000017,Hillingdon,2014-01-01,81
E09000018,Hounslow,2014-01-01,270
E09000019,Islington,2014-01-01,30
E09000020,Kensington and Chelsea,2014-01-01,19
E09000021,Kingston upon Thames,2014-01-01,0
E09000022,Lambeth,2014-01-01,72
E09000023,Lewisham,2014-01-01,0
E09000024,Merton,2014-01-01,11
E09000025,Newham,2014-01-01,6
E09000026,Redbridge,2014-01-01,0
E09000027,Richmond upon Thames,2014-01-01,13
E09000028,Southwark,2014-01-01,88
E09000029,Sutton,2014-01-01,6
E09000030,Tower Hamlets,2014-01-01,28
E09000031,Waltham Forest,2014-01-01,25
E09000032,Wandsworth,2014-01-01,14
E09000033,Westminster,2014-01-01,109
E09000002,Barking and Dagenham,2014-04-01,9
E09000003,Barnet,2014-04-01,38
E09000004,Bexley,2014-04-01,12
E09000005,Brent,2014-04-01,23
E09000006,Bromley,2014-04-01,23
E09000007,Camden,2014-04-01,96
E09000001,City of London,2014-04-01,17
E09000008,Croydon,2014-04-01,16
E09000009,Ealing,2014-04-01,47
E09000010,Enfield,2014-04-01,22
E09000011,Greenwich,2014-04-01,18
E09000012,Hackney,2014-04-01,19
E09000013,Hammersmith and Fulham,2014-04-01,10
E09000014,Haringey,2014-04-01,22
E09000015,Harrow,2014-04-01,7
E09000016,Havering,2014-04-01,54
E09000017,Hillingdon,2014-04-01,82
E09000018,Hounslow,2014-04-01,269
E09000019,Islington,2014-04-01,31
E09000020,Kensington and Chelsea,2014-04-01,21
E09000021,Kingston upon Thames,2014-04-01,5
E09000022,Lambeth,2014-04-01,77
E09000023,Lewisham,2014-04-01,0
E09000024,Merton,2014-04-01,11
E09000025,Newham,2014-04-01,6
E09000026,Redbridge,2014-04-01,7
E09000027,Richmond upon Thames,2014-04-01,16
E09000028,Southwark,2014-04-01,89
E09000029,Sutton,2014-04-01,6
E09000030,Tower Hamlets,2014-04-01,29
E09000031,Waltham Forest,2014-04-01,27
E09000032,Wandsworth,2014-04-01,13
E09000033,Westminster,2014-04-01,123
E09000002,Barking and Dagenham,2014-07-01,11
E09000003,Barnet,2014-07-01,43
E09000004,Bexley,2014-07-01,14
E09000005,Brent,2014-07-01,24
E09000006,Bromley,2014-07-01,28
E09000007,Camden,2014-07-01,94
E09000001,City of London,2014-07-01,20
E09000008,Croydon,2014-07-01,22
E09000009,Ealing,2014-07-01,67
E09000010,Enfield,2014-07-01,26
E09000011,Greenwich,2014-07-01,20
E09000012,Hackney,2014-07-01,20
E09000013,Hammersmith and Fulham,2014-07-01,11
E09000014,Haringey,2014-07-01,24
E09000015,Harrow,2014-07-01,7
E09000016,Havering,2014-07-01,51
E09000017,Hillingdon,2014-07-01,180
E09000018,Hounslow,2014-07-01,270
E09000019,Islington,2014-07-01,32
E09000020,Kensington and Chelsea,2014-07-01,22
E09000021,Kingston upon Thames,2014-07-01,6
E09000022,Lambeth,2014-07-01,77
E09000023,Lewisham,2014-07-01,0
E09000024,Merton,2014-07-01,13
E09000025,Newham,2014-07-01,9
E09000026,Redbridge,2014-07-01,7
E09000027,Richmond upon Thames,2014-07-01,20
E09000028,Southwark,2014-07-01,92
E09000029,Sutton,2014-07-01,8
E09000030,Tower Hamlets,2014-07-01,37
E09000031,Waltham Forest,2014-07-01,29
E09000032,Wandsworth,2014-07-01,14
E09000033,Westminster,2014-07-01,145
E09000002,Barking and Dagenham,2014-10-01,11
E09000003,Barnet,2014-10-01,50
E09000004,Bexley,2014-10-01,14
E09000005,Brent,2014-10-01,29
E09000006,Bromley,2014-10-01,57
E09000007,Camden,2014-10-01,100
E09000001,City of London,2014-10-01,25
E09000008,Croydon,2014-10-01,29
E09000009,Ealing,2014-10-01,103
E09000010,Enfield,2014-10-01,29
E09000011,Greenwich,2014-10-01,27
E09000012,Hackney,2014-10-01,23
E09000013,Hammersmith and Fulham,2014-10-01,15
E09000014,Haringey,2014-10-01,34
E09000015,Harrow,2014-10-01,9
E09000016,Havering,2014-10-01,67
E09000017,Hillingdon,2014-10-01,179
E09000018,Hounslow,2014-10-01,271
E09000019,Islington,2014-10-01,36
E09000020,Kensington and Chelsea,2014-10-01,22
E09000021,Kingston upon Thames,2014-10-01,7
E09000022,Lambeth,2014-10-01,80
E09000023,Lewisham,2014-10-01,0
E09000024,Merton,2014-10-01,18
E09000025,Newham,2014-10-01,12
E09000026,Redbridge,2014-10-01,8
