ons_la_code_apr_2019,borough,quarter,count
E09000022,Lambeth,2015-10-01,65
E09000023,Lewisham,2015-10-01,51
E09000024,Merton,2015-10-01,64
E09000025,Newham,2015-10-01,32
E09000026,Redbridge,2015-10-01,90
E09000027,Richmond upon Thames,2015-10-01,114
E09000028,Southwark,2015-10-01,85
E09000029,Sutton,2015-10-01,56
E09000030,Tower Hamlets,2015-10-01,40
E09000031,Waltham Forest,2015-10-01,38
E09000032,Wandsworth,2015-10-01,144
E09000033,Westminster,2015-10-01,299
E09000002,Barking and Dagenham,2016-01-01,35
E09000003,Barnet,2016-01-01,438
E09000004,Bexley,2016-01-01,52
E09000005,Brent,2016-01-01,148
E09000006,Bromley,2016-01-01,188
E09000007,Camden,2016-01-01,318
E09000001,City of London,2016-01-01,6
E09000008,Croydon,2016-01-01,104
E09000009,Ealing,2016-01-01,158
E09000010,Enfield,2016-01-01,108
E09000011,Greenwich,2016-01-01,65
E09000012,Hackney,2016-01-01,63
E09000013,Hammersmith and Fulham,2016-01-01,107
E09000014,Haringey,2016-01-01,127
E09000015,Harrow,2016-01-01,128
E09000016,Havering,2016-01-01,77
E09000017,Hillingdon,2016-01-01,132
E09000018,Hounslow,2016-01-01,110
E09000019,Islington,2016-01-01,91
E09000020,Kensington and Chelsea,2016-01-01,268
E09000021,Kingston upon Thames,2016-01-01,89
E09000022,Lambeth,2016-01-01,78
E09000023,Lewisham,2016-01-01,64
E09000024,Merton,2016-01-01,70
E09000025,Newham,2016-01-01,40
E09000026,Redbridge,2016-01-01,103
E09000027,Richmond upon Thames,2016-01-01,139
E09000028,Southwark,2016-01-01,95
E09000029,Sutton,2016-01-01,70
E09000030,Tower Hamlets,2016-01-01,48
E09000031,Waltham Forest,2016-01-01,45
E09000032,Wandsworth,2016-01-01,168
E09000033,Westminster,2016-01-01,334
E09000002,Barking and Dagenham,2016-04-01,43
E09000003,Barnet,2016-04-01,516
E09000004,Bexley,2016-04-01,69
E09000005,Brent,2016-04-01,182
E09000006,Bromley,2016-04-01,225
E09000007,Camden,2016-04-01,348
E09000001,City of London,2016-04-01,12
E09000008,Croydon,2016-04-01,124
E09000009,Ealing,2016-04-01,169
E09000010,Enfield,2016-04-01,127
E09000011,Greenwich,2016-04-01,79
E09000012,Hackney,2016-04-01,76
E09000013,Hammersmith and Fulham,2016-04-01,117
E09000014,Haringey,2016-04-01,151
E09000015,Harrow,2016-04-01,154
E09000016,Havering,2016-04-01,90
E09000017,Hillingdon,2016-04-01,156
E09000018,Hounslow,2016-04-01,131
E09000019,Islington,2016-04-01,112
E09000020,Kensington and Chelsea,2016-04-01,297
E09000021,Kingston upon Thames,2016-04-01,106
E09000022,Lambeth,2016-04-01,99
E09000023,Lewisham,2016-04-01,83
E09000024,Merton,2016-04-01,79
E09000025,Newham,2016-04-01,60
E09000026,Redbridge,2016-04-01,109
E09000027,Richmond upon Thames,2016-04-01,157
E09000028,Southwark,2016-04-01,111
E09000029,Sutton,2016-04-01,90
E09000030,Tower Hamlets,2016-04-01,59
E09000031,Waltham Forest,2016-04-01,57
E09000032,Wandsworth,2016-04-01,197
E09000033,Westminster,2016-04-01,369
E09000002,Barking and Dagenham,2016-07-01,66
E09000003,Barnet,2016-07-01,567
E09000004,Bexley,2016-07-01,88
E09000005,Brent,2016-07-01,203
E09000006,Bromley,2016-07-01,259
E09000007,Camden,2016-07-01,377
E09000001,City of London,2016-07-01,14
E09000008,Croydon,2016-07-01,146
