ons_la_code_apr_2019,borough,quarter,count
E09000018,Hounslow,2015-10-01,379
E09000019,Islington,2015-10-01,272
E09000020,Kensington and Chelsea,2015-10-01,268
E09000021,Kingston upon Thames,2015-10-01,91
E09000022,Lambeth,2015-10-01,171
E09000023,Lewisham,2015-10-01,60
E09000024,Merton,2015-10-01,103
E09000025,Newham,2015-10-01,50
E09000026,Redbridge,2015-10-01,124
E09000027,Richmond upon Thames,2015-10-01,160
E09000028,Southwark,2015-10-01,204
E09000029,Sutton,2015-10-01,72
E09000030,Tower Hamlets,2015-10-01,99
E09000031,Waltham Forest,2015-10-01,81
E09000032,Wandsworth,2015-10-01,184
E09000033,Westminster,2015-10-01,501
E09000002,Barking and Dagenham,2016-01-01,50
E09000003,Barnet,2016-01-01,585
E09000004,Bexley,2016-01-01,81
E09000005,Brent,2016-01-01,231
E09000006,Bromley,2016-01-01,278
E09000007,Camden,2016-01-01,466
E09000001,City of London,2016-01-01,62
E09000008,Croydon,2016-01-01,185
E09000009,Ealing,2016-01-01,312
E09000010,Enfield,2016-01-01,160
E09000011,Greenwich,2016-01-01,115
E09000012,Hackney,2016-01-01,109
E09000013,Hammersmith and Fulham,2016-01-01,161
E09000014,Haringey,2016-01-01,191
E09000015,Harrow,2016-01-01,156
E09000016,Havering,2016-01-01,183
E09000017,Hillingdon,2016-01-01,555
E09000018,Hounslow,2016-01-01,412
E09000019,Islington,2016-01-01,290
E09000020,Kensington and Chelsea,2016-01-01,320
E09000021,Kingston upon Thames,2016-01-01,106
E09000022,Lambeth,2016-01-01,195
E09000023,Lewisham,2016-01-01,87
E09000024,Merton,2016-01-01,147
E09000025,Newham,2016-01-01,75
E09000026,Redbridge,2016-01-01,153
E09000027,Richmond upon Thames,2016-01-01,204
E09000028,Southwark,2016-01-01,227
E09000029,Sutton,2016-01-01,93
E09000030,Tower Hamlets,2016-01-01,143
E09000031,Waltham Forest,2016-01-01,85
E09000032,Wandsworth,2016-01-01,215
E09000033,Westminster,2016-01-01,575
E09000002,Barking and Dagenham,2016-04-01,66
E09000003,Barnet,2016-04-01,709
E09000004,Bexley,2016-04-01,99
E09000005,Brent,2016-04-01,304
E09000006,Bromley,2016-04-01,297
E09000007,Camden,2016-04-01,504
E09000001,City of London,2016-04-01,82
E09000008,Croydon,2016-04-01,200
E09000009,Ealing,2016-04-01,342
E09000010,Enfield,2016-04-01,187
E09000011,Greenwich,2016-04-01,132
E09000012,Hackney,2016-04-01,133
E09000013,Hammersmith and Fulham,2016-04-01,223
E09000014,Haringey,2016-04-01,216
E09000015,Harrow,2016-04-01,190
E09000016,Havering,2016-04-01,192
E09000017,Hillingdon,2016-04-01,571
E09000018,Hounslow,2016-04-01,463
E09000019,Islington,2016-04-01,260
E09000020,Kensington and Chelsea,2016-04-01,356
E09000021,Kingston upon Thames,2016-04-01,128
E09000022,Lambeth,2016-04-01,225
E09000023,Lewisham,2016-04-01,113
E09000024,Merton,2016-04-01,221
E09000025,Newham,2016-04-01,105
E09000026,Redbridge,2016-04-01,187
E09000027,Richmond upon Thames,2016-04-01,231
E09000028,Southwark,2016-04-01,249
E09000029,Sutton,2016-04-01,115
E09000030,Tower Hamlets,2016-04-01,170
E09000031,Waltham Forest,2016-04-01,107
E09000032,Wandsworth,2016-04-01,246
E09000033,Westminster,2016-04-01,636
E09000002,Barking and Dagenham,2016-07-01,91
E09000003,Barnet,2016-07-01,823
E09000004,Bexley,2016-07-01,122
E09000005,Brent,2016-07-01,342
E09000006,Bromley,2016-07-01,342
E09000007,Camden,2016-07-01,538
E09000001,City of London,2016-07-01,101
E09000008,Croydon,2016-07-01,257
E09000009,Ealing,2016-07-01,395
E09000010,Enfield,2016-07-01,216
E09000011,Greenwich,2016-07-01,159
E09000012,Hackney,2016-07-01,187
E09000013,Hammersmith and Fulham,2016-07-01,259
E09000014,Haringey,2016-07-01,238
E09000015,Harrow,2016-07-01,215
E09000016,Havering,2016-07-01,212
E09000017,Hillingdon,2016-07-01,529
E09000018,Hounslow,2016-07-01,477
E09000019,Islington,2016-07-01,257
E09000020,Kensington and Chelsea,2016-07-01,404
E09000021,Kingston upon Thames,2016-07-01,153
E09000022,Lambeth,2016-07-01,246
E09000023,Lewisham,2016-07-01,122
E09000024,Merton,2016-07-01,268
E09000025,Newham,2016-07-01,120
E09000026,Redbridge,2016-07-01,212
E09000027,Richmond upon Thames,2016-07-01,250
E09000028,Southwark,2016-07-01,283
E09000029,Sutton,2016-07-01,145
E09000030,Tower Hamlets,2016-07-01,198
E09000031,Waltham Forest,2016-07-01,129
E09000032,Wandsworth,2016-07-01,277
E09000033,Westminster,2016-07-01,749
E09000002,Barking and Dagenham,2016-10-01,100
E09000003,Barnet,2016-10-01,955
E09000004,Bexley,2016-10-01,131
E09000005,Brent,2016-10-01,503
E09000006,Bromley,2016-10-01,370
E09000007,Camden,2016-10-01,547
E09000001,City of London,2016-10-01,110
E09000008,Croydon,2016-10-01,263
E09000009,Ealing,2016-10-01,431
E09000010,Enfield,2016-10-01,224
E09000011,Greenwich,2016-10-01,170
E09000012,Hackney,2016-10-01,160
E09000013,Hammersmith and Fulham,2016-10-01,301
E09000014,Haringey,2016-10-01,251
E09000015,Harrow,2016-10-01,240
E09000016,Havering,2016-10-01,236
E09000017,Hillingdon,2016-10-01,610
E09000018,Hounslow,2016-10-01,494
E09000019,Islington,2016-10-01,278
E09000020,Kensington and Chelsea,2016-10-01,462
E09000021,Kingston upon Thames,2016-10-01,173
E09000022,Lambeth,2016-10-01,260
E09000023,Lewisham,2016-10-01,140
E09000024,Merton,2016-10-01,404
E09000025,Newham,2016-10-01,144
E09000026,Redbridge,2016-10-01,227
E09000027,Richmond upon Thames,2016-10-01,271
E09000028,Southwark,2016-10-01,318
E09000029,Sutton,2016-10-01,157
E09000030,Tower Hamlets,2016-10-01,235
E09000031,Waltham Forest,2016-10-01,141
E09000032,Wandsworth,2016-10-01,296
