ons_la_code_apr_2019,borough,quarter,count
E09000004,Bexley,2016-01-01,14
E09000005,Brent,2016-01-01,42
E09000006,Bromley,2016-01-01,71
E09000007,Camden,2016-01-01,72
E09000001,City of London,2016-01-01,0
E09000008,Croydon,2016-01-01,42
E09000009,Ealing,2016-01-01,47
E09000010,Enfield,2016-01-01,31
E09000011,Greenwich,2016-01-01,20
E09000012,Hackney,2016-01-01,21
E09000013,Hammersmith and Fulham,2016-01-01,31
E09000014,Haringey,2016-01-01,41
E09000015,Harrow,2016-01-01,44
E09000016,Havering,2016-01-01,19
E09000017,Hillingdon,2016-01-01,40
E09000018,Hounslow,2016-01-01,37
E09000019,Islington,2016-01-01,31
E09000020,Kensington and Chelsea,2016-01-01,71
E09000021,Kingston upon Thames,2016-01-01,35
E09000022,Lambeth,2016-01-01,20
E09000023,Lewisham,2016-01-01,19
E09000024,Merton,2016-01-01,25
E09000025,Newham,2016-01-01,11
E09000026,Redbridge,2016-01-01,26
E09000027,Richmond upon Thames,2016-01-01,53
E09000028,Southwark,2016-01-01,36
E09000029,Sutton,2016-01-01,31
E09000030,Tower Hamlets,2016-01-01,18
E09000031,Waltham Forest,2016-01-01,13
E09000032,Wandsworth,2016-01-01,71
E09000033,Westminster,2016-01-01,87
E09000002,Barking and Dagenham,2016-04-01,12
E09000003,Barnet,2016-04-01,136
E09000004,Bexley,2016-04-01,19
E09000005,Brent,2016-04-01,54
E09000006,Bromley,2016-04-01,95
E09000007,Camden,2016-04-01,82
E09000001,City of London,2016-04-01,0
E09000008,Croydon,2016-04-01,55
E09000009,Ealing,2016-04-01,53
E09000010,Enfield,2016-04-01,38
E09000011,Greenwich,2016-04-01,24
E09000012,Hackney,2016-04-01,26
E09000013,Hammersmith and Fulham,2016-04-01,35
E09000014,Haringey,2016-04-01,51
E09000015,Harrow,2016-04-01,56
E09000016,Havering,2016-04-01,26
E09000017,Hillingdon,2016-04-01,48
E09000018,Hounslow,2016-04-01,43
E09000019,Islington,2016-04-01,44
E09000020,Kensington and Chelsea,2016-04-01,81
E09000021,Kingston upon Thames,2016-04-01,41
E09000022,Lambeth,2016-04-01,32
E09000023,Lewisham,2016-04-01,27
E09000024,Merton,2016-04-01,30
E09000025,Newham,2016-04-01,18
E09000026,Redbridge,2016-04-01,28
E09000027,Richmond upon Thames,2016-04-01,64
E09000028,Southwark,2016-04-01,38
E09000029,Sutton,2016-04-01,43
E09000030,Tower Hamlets,2016-04-01,22
E09000031,Waltham Forest,2016-04-01,16
E09000032,Wandsworth,2016-04-01,89
E09000033,Westminster,2016-04-01,98
E09000002,Barking and Dagenham,2016-07-01,17
E09000003,Barnet,2016-07-01,150
E09000004,Bexley,2016-07-01,29
E09000005,Brent,2016-07-01,62
